labels,path,dataset,Gender,predicted_labels
happy,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/DC_h13.wav,SAVEE,m,happy
surprise,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/KL_su05.wav,SAVEE,m,surprise
neutral,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/KL_n24.wav,SAVEE,m,neutral
neutral,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/JE_n05.wav,SAVEE,m,neutral
sad,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/KL_sa06.wav,SAVEE,m,angry
fear,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/KL_f02.wav,SAVEE,m,fear
sad,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/JE_sa12.wav,SAVEE,m,surprise
happy,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/DC_h05.wav,SAVEE,m,happy
fear,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/DC_f02.wav,SAVEE,m,happy
disgust,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/JK_d12.wav,SAVEE,m,disgust
disgust,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/JE_d03.wav,SAVEE,m,neutral
angry,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/JE_a06.wav,SAVEE,m,angry
surprise,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/KL_su12.wav,SAVEE,m,surprise
neutral,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/JE_n23.wav,SAVEE,m,neutral
sad,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/DC_sa15.wav,SAVEE,m,sad
fear,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/DC_f07.wav,SAVEE,m,fear
happy,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/DC_h15.wav,SAVEE,m,happy
surprise,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/JK_su07.wav,SAVEE,m,surprise
sad,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/DC_sa09.wav,SAVEE,m,sad
disgust,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/KL_d12.wav,SAVEE,m,neutral
sad,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/DC_sa06.wav,SAVEE,m,fear
sad,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/JE_sa03.wav,SAVEE,m,neutral
sad,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/JE_sa13.wav,SAVEE,m,sad
surprise,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/KL_su13.wav,SAVEE,m,surprise
sad,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/KL_sa01.wav,SAVEE,m,sad
happy,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/DC_h06.wav,SAVEE,m,happy
surprise,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/DC_su15.wav,SAVEE,m,surprise
angry,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/DC_a03.wav,SAVEE,m,angry
disgust,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/JK_d11.wav,SAVEE,m,neutral
neutral,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/KL_n27.wav,SAVEE,m,angry
angry,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/JE_a04.wav,SAVEE,m,angry
fear,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/JK_f08.wav,SAVEE,m,fear
sad,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/JE_sa02.wav,SAVEE,m,sad
neutral,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/JK_n16.wav,SAVEE,m,neutral
disgust,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/DC_d06.wav,SAVEE,m,angry
surprise,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/JK_su04.wav,SAVEE,m,surprise
disgust,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/JE_d15.wav,SAVEE,m,disgust
neutral,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/DC_n09.wav,SAVEE,m,neutral
neutral,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/DC_n17.wav,SAVEE,m,neutral
surprise,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/JE_su05.wav,SAVEE,m,surprise
neutral,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/JE_n14.wav,SAVEE,m,neutral
happy,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/KL_h11.wav,SAVEE,m,sad
neutral,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/DC_n16.wav,SAVEE,m,neutral
neutral,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/JK_n07.wav,SAVEE,m,happy
angry,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/JK_a15.wav,SAVEE,m,angry
sad,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/KL_sa07.wav,SAVEE,m,sad
angry,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/DC_a01.wav,SAVEE,m,angry
surprise,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/JE_su11.wav,SAVEE,m,neutral
surprise,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/JE_su15.wav,SAVEE,m,surprise
surprise,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/KL_su07.wav,SAVEE,m,surprise
disgust,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/KL_d10.wav,SAVEE,m,disgust
disgust,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/JE_d10.wav,SAVEE,m,disgust
surprise,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/DC_su08.wav,SAVEE,m,surprise
happy,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/JK_h03.wav,SAVEE,m,happy
angry,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/JK_a12.wav,SAVEE,m,angry
neutral,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/DC_n08.wav,SAVEE,m,neutral
neutral,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/KL_n29.wav,SAVEE,m,neutral
surprise,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/KL_su15.wav,SAVEE,m,surprise
happy,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/JE_h02.wav,SAVEE,m,angry
neutral,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/DC_n11.wav,SAVEE,m,neutral
angry,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/JE_a11.wav,SAVEE,m,angry
sad,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/KL_sa09.wav,SAVEE,m,neutral
happy,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/KL_h13.wav,SAVEE,m,neutral
happy,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/JK_h09.wav,SAVEE,m,happy
fear,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/JK_f03.wav,SAVEE,m,fear
neutral,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/JE_n22.wav,SAVEE,m,neutral
disgust,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/JE_d07.wav,SAVEE,m,neutral
surprise,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/KL_su08.wav,SAVEE,m,surprise
fear,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/DC_f04.wav,SAVEE,m,fear
neutral,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/DC_n27.wav,SAVEE,m,neutral
disgust,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/KL_d02.wav,SAVEE,m,neutral
surprise,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/KL_su06.wav,SAVEE,m,surprise
angry,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/KL_a12.wav,SAVEE,m,angry
surprise,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/JE_su01.wav,SAVEE,m,surprise
happy,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/JE_h07.wav,SAVEE,m,neutral
neutral,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/JE_n24.wav,SAVEE,m,neutral
fear,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/KL_f08.wav,SAVEE,m,fear
happy,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/KL_h10.wav,SAVEE,m,happy
sad,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/DC_sa07.wav,SAVEE,m,angry
disgust,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/JK_d09.wav,SAVEE,m,disgust
angry,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/DC_a05.wav,SAVEE,m,angry
happy,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/JE_h14.wav,SAVEE,m,happy
neutral,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/JE_n03.wav,SAVEE,m,neutral
surprise,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/DC_su07.wav,SAVEE,m,surprise
happy,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/JK_h08.wav,SAVEE,m,happy
surprise,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/KL_su01.wav,SAVEE,m,surprise
surprise,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/DC_su05.wav,SAVEE,m,surprise
fear,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/JE_f12.wav,SAVEE,m,fear
disgust,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/JE_d14.wav,SAVEE,m,neutral
neutral,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/JK_n17.wav,SAVEE,m,neutral
surprise,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/JE_su08.wav,SAVEE,m,surprise
angry,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/JE_a02.wav,SAVEE,m,angry
neutral,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/JE_n06.wav,SAVEE,m,neutral
neutral,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/KL_n10.wav,SAVEE,m,neutral
happy,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/DC_h10.wav,SAVEE,m,happy
angry,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/KL_a11.wav,SAVEE,m,angry
neutral,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/DC_n13.wav,SAVEE,m,neutral
neutral,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/JK_n13.wav,SAVEE,m,neutral
surprise,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/JK_su09.wav,SAVEE,m,neutral
fear,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/JE_f08.wav,SAVEE,m,fear
neutral,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/DC_n29.wav,SAVEE,m,neutral
neutral,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/JK_n24.wav,SAVEE,m,neutral
fear,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/KL_f03.wav,SAVEE,m,happy
neutral,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/JK_n09.wav,SAVEE,m,neutral
neutral,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/KL_n13.wav,SAVEE,m,neutral
fear,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/JE_f02.wav,SAVEE,m,fear
surprise,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/KL_su02.wav,SAVEE,m,happy
neutral,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/KL_n09.wav,SAVEE,m,neutral
surprise,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/DC_su14.wav,SAVEE,m,surprise
happy,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/JK_h12.wav,SAVEE,m,happy
sad,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/KL_sa08.wav,SAVEE,m,neutral
sad,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/JE_sa15.wav,SAVEE,m,sad
neutral,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/JE_n04.wav,SAVEE,m,neutral
fear,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/DC_f14.wav,SAVEE,m,happy
neutral,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/DC_n05.wav,SAVEE,m,neutral
sad,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/JE_sa05.wav,SAVEE,m,surprise
disgust,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/JE_d09.wav,SAVEE,m,neutral
fear,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/KL_f13.wav,SAVEE,m,fear
disgust,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/KL_d05.wav,SAVEE,m,neutral
happy,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/JE_h01.wav,SAVEE,m,surprise
angry,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/DC_a07.wav,SAVEE,m,fear
disgust,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/KL_d15.wav,SAVEE,m,disgust
sad,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/JK_sa07.wav,SAVEE,m,sad
surprise,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/JK_su15.wav,SAVEE,m,surprise
sad,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/DC_sa03.wav,SAVEE,m,angry
angry,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/DC_a02.wav,SAVEE,m,angry
angry,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/KL_a08.wav,SAVEE,m,angry
fear,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/JK_f04.wav,SAVEE,m,fear
fear,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/DC_f03.wav,SAVEE,m,fear
fear,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/KL_f01.wav,SAVEE,m,fear
neutral,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/JK_n26.wav,SAVEE,m,neutral
sad,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/JK_sa01.wav,SAVEE,m,sad
neutral,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/JE_n30.wav,SAVEE,m,neutral
neutral,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/KL_n16.wav,SAVEE,m,neutral
happy,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/JK_h04.wav,SAVEE,m,happy
sad,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/KL_sa02.wav,SAVEE,m,neutral
neutral,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/DC_n24.wav,SAVEE,m,neutral
happy,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/JE_h12.wav,SAVEE,m,sad
fear,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/JE_f03.wav,SAVEE,m,neutral
neutral,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/DC_n14.wav,SAVEE,m,neutral
happy,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/JK_h14.wav,SAVEE,m,surprise
neutral,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/JK_n29.wav,SAVEE,m,neutral
neutral,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/DC_n10.wav,SAVEE,m,neutral
surprise,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/KL_su09.wav,SAVEE,m,angry
sad,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/KL_sa12.wav,SAVEE,m,neutral
fear,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/JE_f15.wav,SAVEE,m,fear
sad,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/JK_sa03.wav,SAVEE,m,sad
angry,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/KL_a13.wav,SAVEE,m,neutral
happy,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/JK_h02.wav,SAVEE,m,happy
sad,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/DC_sa05.wav,SAVEE,m,angry
neutral,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/JK_n05.wav,SAVEE,m,neutral
angry,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/JE_a13.wav,SAVEE,m,angry
happy,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/JE_h05.wav,SAVEE,m,happy
fear,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/JK_f07.wav,SAVEE,m,fear
sad,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/JE_sa04.wav,SAVEE,m,sad
happy,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/DC_h07.wav,SAVEE,m,happy
disgust,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/JE_d02.wav,SAVEE,m,disgust
disgust,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/JK_d04.wav,SAVEE,m,surprise
angry,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/KL_a03.wav,SAVEE,m,angry
angry,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/DC_a13.wav,SAVEE,m,angry
neutral,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/KL_n04.wav,SAVEE,m,fear
surprise,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/JE_su12.wav,SAVEE,m,surprise
neutral,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/JK_n03.wav,SAVEE,m,neutral
neutral,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/JK_n25.wav,SAVEE,m,neutral
fear,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/DC_f06.wav,SAVEE,m,fear
fear,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/JE_f04.wav,SAVEE,m,neutral
happy,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/JE_h06.wav,SAVEE,m,happy
happy,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/DC_h02.wav,SAVEE,m,happy
surprise,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/JK_su08.wav,SAVEE,m,surprise
neutral,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/JE_n01.wav,SAVEE,m,neutral
happy,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/DC_h08.wav,SAVEE,m,happy
surprise,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/KL_su04.wav,SAVEE,m,angry
disgust,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/DC_d10.wav,SAVEE,m,disgust
neutral,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/JK_n27.wav,SAVEE,m,neutral
angry,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/JK_a08.wav,SAVEE,m,angry
neutral,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/JK_n30.wav,SAVEE,m,neutral
fear,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/DC_f15.wav,SAVEE,m,happy
disgust,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/JE_d11.wav,SAVEE,m,neutral
happy,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/JK_h10.wav,SAVEE,m,surprise
neutral,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/JE_n20.wav,SAVEE,m,neutral
disgust,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/JK_d14.wav,SAVEE,m,surprise
happy,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/KL_h02.wav,SAVEE,m,happy
fear,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/JE_f05.wav,SAVEE,m,fear
disgust,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/DC_d12.wav,SAVEE,m,neutral
sad,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/JK_sa13.wav,SAVEE,m,sad
fear,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/JK_f01.wav,SAVEE,m,happy
happy,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/JE_h15.wav,SAVEE,m,angry
surprise,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/JE_su02.wav,SAVEE,m,neutral
angry,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/JK_a02.wav,SAVEE,m,angry
fear,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/KL_f09.wav,SAVEE,m,fear
sad,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/KL_sa10.wav,SAVEE,m,neutral
disgust,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/DC_d01.wav,SAVEE,m,angry
neutral,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/JE_n26.wav,SAVEE,m,neutral
surprise,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/KL_su03.wav,SAVEE,m,surprise
angry,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/DC_a10.wav,SAVEE,m,angry
angry,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/JK_a09.wav,SAVEE,m,angry
happy,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/JK_h11.wav,SAVEE,m,happy
happy,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/JE_h11.wav,SAVEE,m,happy
neutral,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/DC_n23.wav,SAVEE,m,neutral
neutral,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/KL_n22.wav,SAVEE,m,happy
disgust,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/JK_d01.wav,SAVEE,m,disgust
fear,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/DC_f08.wav,SAVEE,m,fear
happy,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/DC_h14.wav,SAVEE,m,surprise
surprise,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/JK_su03.wav,SAVEE,m,surprise
happy,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/JE_h10.wav,SAVEE,m,fear
neutral,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/DC_n18.wav,SAVEE,m,neutral
neutral,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/KL_n23.wav,SAVEE,m,neutral
surprise,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/JE_su13.wav,SAVEE,m,surprise
neutral,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/DC_n20.wav,SAVEE,m,neutral
